"list.price","beds","baths","sqft","lot.size","year.built","parking.spots","parking.type","original.list.price","last.sale.price"
269.9,3,1.75,1161,6970,1955,2,"Garage",269.9,263.5
299.9,3,2,1730,7841,1954,2,"Garage",299.9,290
228,3,2,1072,8712,1961,2,"Garage",228,240
230,3,2,1104,7405,1977,6,"Garage",230,240
214.9,3,1.5,1080,7405,1954,2,"Garage",247.25,218
154.9,2,1,884,5663,1958,1,"Garage",174.9,157
284.9,3,2,1469,10019,2006,2,"Garage",284.9,284.9
220,3,2,1270,8276,1957,2,"Garage",220,215
175,4,2.5,1586,10890,1966,2,"Garage",175,160
260,3,2,1184,8712,1958,2,"Garage",260,265
269.9,3,1.5,1419,7405,1957,2,"Garage",279.9,269.9
229,3,1.5,1122,16988,1955,2,"Garage",229,245
160,3,1.75,1116,9685,1959,1,"Garage",160,178.5
287.5,4,2.5,1883,3485,2007,2,"Garage",287.5,290
235,3,2,1072,8712,1961,2,"Garage",235,235
265,3,2,1303,7841,1958,2,"Garage",230,270
220,4,2.5,1883,3920,2007,2,"Garage",230,229.1
215.9,3,1.5,1360,13504,1945,0,"Other",229.9,215
230,3,2,1192,6534,1956,2,"Garage",230,240
305,4,2,1620,7841,1981,2,"Garage",314,295
199.9,4,2,1278,6970,1957,2,"Garage",199.9,193
249,3,1.75,1221,6534,1959,2,"Garage",249,250
220,4,1.75,1578,7841,1958,2,"Garage",220,200
249.9,3,2,1170,10890,1960,2,"Garage",249.9,249
409,4,3,2655,11761,2013,3,"Garage",409,409
255,4,2,1502,7776,1964,2,"Garage",190,255
249,3,2.5,1288,3485,1991,2,"Garage",249,270
214.999,4,2,1374,7841,1954,2,"Garage",250,224
249,4,2,1150,7841,1954,2,"Garage",249,240
199.9,3,1,1400,6970,1953,7,"Garage",199.9,210.25
190,3,2,1097,7405,1957,2,"Garage",190,190
285,3,1.75,1257,9148,1951,2,"Garage",285,295
231,3,1.5,1533,7841,1953,2,"Garage",231,213
144.9,3,1,928,13504,1918,1,"Garage",144.9,145
269.9,3,2,1363,8712,1977,2,"Garage",269.9,266
315,4,2,1974,6970,1958,2,"Garage",325,315
279,3,2,1435,7405,1957,2,"Garage",279,280
825,5,4,4301,74923,2004,4,"Garage",825,825
209.5,4,2,1312,6534,1949,1,"Garage",219,205
199,4,2,1510,6970,1953,2,"Other",199,220
415.9,5,3,2685,13068,1985,3,"Garage",429.9,415.9
219.9,3,1,1054,8712,1954,2,"Garage",219.9,230
247,3,1.5,1400,6970,1953,2,"Garage",247,265
269.5,3,2,1261,8276,1955,2,"Garage",269.8,262
228.9,3,2,1257,6534,1956,2,"Garage",229.9,230
290,3,2,1380,9148,1977,3,"Garage",290,275
349.9,4,3,2188,16988,1946,2,"Garage",319.9,349.9
225,3,2,1312,6970,1951,2,"Garage",230,214
168.5,1,1,851,10019,1944,0,"Other",168.5,173
218,3,2,1232,6970,1959,2,"Garage",218,250
349.9,4,2.5,2026,3049,2009,2,"Garage",389.9,349.9
225.9,3,1.75,1410,9148,1953,2,"Other",225.9,230
650,5,3.25,3607,24394,1987,3,"Garage",699.9,635
459,4,3,3354,30492,1988,3,"Garage",459,460
335,3,2.5,1880,3920,2002,2,"Garage",335,340
280,4,1.75,1404,10454,1976,4,"Garage",280,289
274.9,5,2,1600,9148,1959,2,"Garage",274.9,279
250,4,2,1683,6970,1952,2,"Garage",275,240
199,3,1,1101,6970,1952,5,"Garage",199,199
239.9,4,2,1034,8712,1951,2,"Garage",239.9,244.9
229.9,3,2,1126,6970,1956,2,"Garage",224.9,229.9
213,2,1,978,7841,1946,2,"Garage",213,213
275,4,2,1600,6534,1953,1,"Garage",289,275
310,4,2,1753,12197,1971,2,"Garage",295,310
240,3,2,1555,6534,1955,2,"Garage",240,255
299.9,3,2,1736,8276,1976,2,"Garage",299.9,300
160,4,1.75,1298,6534,1957,4,"Garage",230,140
209,2,1.75,1236,16553,1941,2,"Garage",189.9,215
265,3,2,1855,9583,1956,2,"Other",265,280
254.9,3,2,1140,7405,1948,2,"Garage",264.9,255
220,2,2,1253,7841,1952,2,"Garage",220,220
325,3,2,1750,7841,1985,2,"Garage",325,317.5
280,3,2,1396,12632,1979,3,"Garage",280,272.5
239.995,3,2,1385,7405,1972,3,"Garage",239.995,262
269.9,3,2,1116,6970,1977,2,"Garage",269.9,278
235,3,2,1348,6534,1973,2,"Garage",235,235
339.9,4,2.5,2175,7405,1968,2,"Garage",339.9,350
359,4,2.25,1893,11326,1987,3,"Garage",379.9,330
415,5,4,3789,7841,2003,3,"Garage",415,415
285,4,2,1578,6970,1976,2,"Garage",285,285
423.5,4,3,2706,7841,2002,3,"Garage",430,400
219.9,3,2,1367,6534,1959,2,"Garage",266.4,205
259.9,6,3,1866,7841,1979,1,"Garage",259.9,243
250,3,2,1572,7841,1977,2,"Garage",250,250
399.9,5,4,2995,4792,2003,3,"Garage",399.9,400
209.888,3,1.75,1125,6970,1959,2,"Garage",209.888,203
180,3,2,1589,7405,1959,2,"Garage",180,205
210,3,2,1202,7405,1959,1,"Garage",199.9,210
275,3,2,1240,6534,1984,2,"Garage",275,268
269.9,4,2.5,1957,3485,2004,2,"Garage",269.9,270
176,4,2.5,1957,3920,2004,2,"Garage",176,210
269.9,4,2,1436,6970,1959,2,"Garage",269.9,272
279,4,2,1569,7405,1973,6,"Garage",279,285
249.9,3,2,1000,6534,1976,2,"Garage",235,249.9
335,3,2.5,1741,3800,2003,2,"Garage",335,330
274.9,4,2,1534,6970,1959,2,"Garage",274.9,290
220,3,2.5,1640,8276,1987,1,"Garage",220,217.8
294.9,4,2,1748,9583,1978,2,"Garage",284.9,300
799.9,4,3.5,3509,54450,2009,3,"Garage",799.9,790
949,5,5,5351,30928,1996,3,"Garage",1100,889
259.9,3,2,1730,6534,1983,2,"Garage",259.9,280
215,3,2,1152,5663,1986,2,"Garage",215,235
409,4,3,2706,8276,2002,3,"Garage",409,409
224.9,3,2,1000,6970,1976,2,"Garage",224.9,225
295,3,2,1427,7841,1987,2,"Garage",295,285
228.15,3,2,1000,10454,1979,2,"Garage",228.15,250
250,4,2.5,2710,7841,2008,2,"Garage",250,250
175,3,2,2270,7405,2008,2,"Garage",175,175
315,3,2.5,2069,4792,2002,2,"Garage",290,315
849.8,4,3.5,3642,23522,2003,4,"Garage",849.8,850
259.9,3,2,1730,26136,1984,2,"Garage",259.9,270
310,4,2.5,2069,3920,2001,2,"Garage",310,340
819.9,5,4.5,3867,26136,2004,4,"Garage",850,775
450,4,2,1865,24829,1976,2,"Garage",495,435
239,3,2,1278,6970,1958,2,"Garage",239,255.1
275,4,2,1300,7841,1959,2,"Garage",275,270
219.9,3,2,1062,10890,1952,0,"Other",219.9,219.9
199.999,3,1.5,1014,8712,1957,2,"Garage",192.777,215
319,4,2.5,1907,10454,1989,2,"Garage",319,330
199.9,4,2,1428,6970,1960,4,"Garage",199.9,202
235,3,1.5,1379,7405,1956,2,"Garage",215,235
320,4,2,1992,15246,2007,2,"Garage",320,320
214.999,3,1,1058,7405,1951,2,"Garage",185,212
210,3,2,1234,6970,1956,2,"Garage",210,210
255,3,1.75,1166,6534,1957,2,"Garage",249.99,255
235,4,2,1254,6970,1957,2,"Garage",225,255
361,3,1.75,1659,13068,1956,2,"Garage",355,355
179,3,1.75,1266,7841,1953,2,"Garage",179,180
219,3,1,1260,6534,1952,2,"Garage",219,229
200,3,1,1070,10019,1948,1,"Garage",220,200
94.8,3,1,986,8712,1951,1,"Garage",94.8,115
229,3,2,1339,8712,1953,4,"Other",239,240
289.9,4,2,1278,7841,1954,1,"Garage",289.9,265
279.9,3,2,1496,7405,1954,6,"Garage",279.9,278
215,3,2,1200,8712,1953,2,"Garage",215,210
209.9,2,1,912,6534,1948,1,"Garage",199.9,210
235,3,1.75,1300,6534,1954,1,"Garage",235,225
835,3,3.5,4326,29185,1977,4,"Garage",835,775
265,4,2,1400,6534,1953,1,"Garage",265,265
199.5,3,1,1035,6970,1948,1,"Garage",199.5,185
299.9,4,3,1806,20473,1991,3,"Garage",299.9,338
224.8,2,1,1272,6970,1951,2,"Other",224.8,238
199,3,2,1307,7841,1956,2,"Garage",199,200
219,3,2.5,1360,2178,2000,1,"Garage",219,235
699.999,5,4,3968,31799,1986,4,"Garage",699.999,663
175,3,1,1040,6970,1939,1,"Other",175,175
210,4,2,1248,7841,1972,2,"Garage",210,171.555
220,2,1,1300,19166,1954,2,"Garage",245,227
239,3,1.75,1294,12197,1953,2,"Garage",239,252
225,3,2,1377,17860,1963,2,"Garage",225,235
225,3,1,1076,10019,1927,1,"Garage",225,225
220,3,1,1139,7405,1953,2,"Garage",220,220
220,4,2,1104,7405,1954,2,"Garage",220,236
170,3,1,1058,5663,1955,2,"Garage",170,177
150,3,2,1430,13068,1952,4,"Garage",150,172
259.9,3,2,1355,47045,1959,2,"Garage",249.9,250
239,4,2,1404,6534,1959,2,"Garage",239,235.555
244.111,4,2,1500,6534,1978,2,"Garage",244.111,250
159.9,3,1.5,1026,7405,1972,2,"Garage",159.9,160
219.5,3,1.5,1047,8276,1953,4,"Garage",219.5,225
259.9,3,2,1626,7405,1958,2,"Garage",259.9,265
179.9,3,2,1149,6534,1959,2,"Garage",179.9,187
349.9,3,2,1923,14375,1922,8,"Garage",349.9,350
233.5,3,1,1058,7405,1950,7,"Garage",224.9,233.5
878.9,5,4.25,4176,24829,1998,4,"Garage",899,859
339,4,2,1491,11326,1975,2,"Garage",339,320
250,4,2,1568,8276,1978,2,"Garage",250,255
276,4,2.5,2732,4792,2002,2,"Garage",276,276
289.9,3,2,1528,14810,1944,2,"Garage",289.9,300
339.9,4,3,2204,7405,2011,6,"Garage",349.9,336
220,3,2,1201,19166,1977,2,"Garage",207.9,201
375,5,3,2703,5227,2002,3,"Garage",375,380
209.9,2,1,966,6970,1944,1,"Garage",189.9,205
244.9,4,2.5,1540,1742,2005,2,"Garage",244.9,250
179.9,3,2,1058,7405,1959,2,"Garage",179.9,180
140,2,1,1092,69696,1930,2,"Garage",140,190
229.9,2,1,896,6534,1950,1,"Garage",229.9,225
230,3,2.25,1438,7841,1953,2,"Garage",230,220
220,3,2,1037,6534,1957,2,"Garage",220,220
229,3,2,1402,6534,1950,1,"Garage",229,227
219,3,2,1195,7405,1951,2,"Garage",229,219
235.9,3,1,1451,8712,1955,2,"Garage",239.9,236
269.9,3,2,1403,7841,1983,2,"Garage",264.9,269.9
305,3,2,1712,10454,1956,2,"Garage",305,315
249.9,4,2,1296,6534,1955,2,"Garage",249.9,250
219.9,3,1.5,997,6534,1954,4,"Garage",219.9,220
192.5,3,2.5,1456,8276,1982,2,"Garage",192.5,255
239.9,3,1,1202,7405,1948,2,"Garage",251.85,235
269.9,3,2,1700,10890,1963,2,"Garage",269.9,270
248,3,2,1382,6970,1956,4,"Garage",248,250
289.9,4,2,1720,6534,1976,2,"Garage",324.9,280
175,4,2,1650,6970,1954,2,"Garage",175,175
190,2,1,888,2614,1924,1,"Garage",190,181
240,4,2.5,1706,2178,2005,2,"Garage",240,250
299.999,4,2,1348,6970,1978,2,"Garage",299.999,283
250,4,2.5,1540,2178,2006,2,"Garage",250,250
230,3,2,1238,6534,1976,2,"Garage",245.7,246
96.8,2,1,896,6534,1950,1,"Garage",115,124
179.9,3,1,1166,9148,1950,2,"Garage",179.9,200
225,2,1,964,6534,1950,1,"Garage",225,225
235,3,1,912,9148,1953,2,"Garage",235,230
240,3,2,1826,8276,1971,2,"Garage",240,240
279.9,3,2.5,1627,3920,2007,2,"Garage",279.9,280
275,3,2,1654,8712,1955,2,"Garage",275,275
214.9,2,1,816,7841,1950,1,"Garage",214.9,214.9
190,3,2,1017,8276,1952,0,"Other",190,190
230,3,1.5,1083,7405,1957,2,"Garage",230,250
200,2,1,926,13068,1949,2,"Garage",179,197
279.9,4,1.75,1278,7405,1957,2,"Garage",279.9,279.9
245,3,1.75,1260,7841,1959,2,"Garage",245,245
