X,zip,list.price,beds,baths,sqft,lot.size,year.built,parking.spots,parking.type,original.list.price,last.sale.price
307,92505,299.999,4,2,1348,6970,1978,2,Garage,299.999,283
308,92503,250,4,2.5,1540,2178,2006,2,Garage,250,250
309,92504,230,3,2,1238,6534,1976,2,Garage,245.7,246
310,92504,96.8,2,1,896,6534,1950,1,Garage,115,124
311,92504,179.9,3,1,1166,9148,1950,2,Garage,179.9,200
312,92504,225,2,1,964,6534,1950,1,Garage,225,225
313,92504,235,3,1,912,9148,1953,2,Garage,235,230
315,92506,240,3,2,1826,8276,1971,2,Garage,240,240
316,92505,279.9,3,2.5,1627,3920,2007,2,Garage,279.9,280
317,92506,275,3,2,1654,8712,1955,2,Garage,275,275
318,92504,214.9,2,1,816,7841,1950,1,Garage,214.9,214.9
319,92503,190,3,2,1017,8276,1952,0,Other,190,190
320,92503,230,3,1.5,1083,7405,1957,2,Garage,230,250
324,92504,200,2,1,926,13068,1949,2,Garage,179,197
325,92503,279.9,4,1.75,1278,7405,1957,2,Garage,279.9,279.9
326,92504,245,3,1.75,1260,7841,1959,2,Garage,245,245
